채널,메시지프레이밍,메시지소구,광고모델,클릭율
1,1,2,1,0.01000
2,1,2,1,0.00900
1,1,2,1,0.00600
2,1,2,1,0.00600
2,1,1,2,0.01000
1,1,1,2,0.01000
1,1,2,2,0.00600
1,2,2,1,0.02800
1,2,2,1,0.00500
1,1,1,2,0.03100
2,1,1,2,0.00600
1,1,1,1,0.01300
2,1,1,1,0.01000
2,1,1,2,0.00400
1,1,1,2,0.01700
2,1,1,2,0.00600
1,1,1,2,0.01800
2,1,2,1,0.01000
1,1,2,1,0.03000
1,1,2,2,0.02000
2,1,2,2,0.02800
1,1,2,2,0.03900
1,1,2,2,0.02200
2,1,2,2,0.01400
1,1,2,2,0.03400
1,1,2,2,0.01600
1,1,2,2,0.01500
1,1,2,2,0.01000
1,1,1,2,0.01300
1,1,2,2,0.01000
2,1,2,2,0.00400
1,1,2,2,0.00700
2,1,1,2,0.00500
1,1,1,2,0.00600
1,1,2,2,0.02700
2,1,2,2,0.01700
1,1,2,2,0.02100
1,1,1,2,0.03100
2,1,1,2,0.01700
2,1,1,2,0.01400
1,1,1,2,0.00800
2,1,1,2,0.00500
1,1,2,2,0.00800
2,1,2,2,0.00300
1,2,2,1,0.01700
2,2,2,1,0.00500
1,2,2,1,0.00800
2,2,2,1,0.01900
2,1,1,2,0.00500
1,1,1,2,0.02200
2,1,1,2,0.01800
1,1,1,2,0.05800
2,1,1,1,0.00800
1,1,1,1,0.00900
2,1,1,1,0.02000
1,1,1,1,0.04800
2,1,1,2,0.01400
1,1,1,2,0.04800
2,1,2,2,0.02900
1,1,2,2,0.02200
2,1,2,2,0.02800
1,1,2,2,0.04300
1,1,2,2,0.03000
2,1,2,2,0.01700
1,1,2,2,0.03400
2,1,2,2,0.00800
1,1,2,2,0.01500
1,1,1,2,0.02100
1,1,2,2,0.01300
1,1,1,2,0.04100
1,2,2,1,0.03600
1,1,2,2,0.02400
2,1,2,2,0.01700
1,1,2,2,0.02000
2,1,1,2,0.01100
2,1,2,2,0.01200
1,2,2,1,0.01000
1,1,2,2,0.00400
2,1,2,2,0.00500
1,1,2,2,0.01100
2,1,2,2,0.03200
1,1,2,2,0.02100
2,1,2,2,0.03300
1,1,2,2,0.04300
1,1,2,2,0.02900
2,1,2,2,0.01300
1,1,2,2,0.03100
2,1,2,2,0.00800
1,1,2,2,0.01600
1,1,1,2,0.01600
1,1,2,2,0.01500
1,2,2,2,0.01500
1,1,2,2,0.02000
1,1,1,1,0.02500
1,1,1,2,0.04200
1,2,2,1,0.03000
1,1,2,2,0.02700
2,1,2,2,0.01800
1,1,2,2,0.02400
2,2,2,1,0.00500
1,2,2,1,0.00700
2,2,2,1,0.00800
1,2,2,1,0.01000
2,1,2,2,0.00600
1,1,2,2,0.00600
2,1,2,2,0.00700
1,1,2,2,0.00700
2,1,2,2,0.01200
1,1,2,2,0.01000
1,1,2,2,0.00500
2,1,2,2,0.03600
1,1,2,2,0.02500
2,1,2,2,0.03800
1,1,2,2,0.04200
1,1,2,2,0.02700
2,1,2,2,0.01900
1,1,2,2,0.03700
2,1,2,2,0.01000
1,1,2,2,0.01700
1,1,1,2,0.02200
1,1,2,2,0.01600
1,1,2,1,0.01200
1,1,2,2,0.00500
1,1,1,2,0.00600
1,1,2,2,0.00700
1,1,2,2,0.03000
1,2,2,1,0.01600
1,1,2,1,0.01900
1,1,2,2,0.02200
1,1,2,2,0.01500
1,2,2,1,0.00900
1,1,2,3,0.00100
1,1,2,2,0.01300
1,2,1,1,0.01400
1,1,1,2,0.02100
1,2,2,2,0.01600
1,1,1,1,0.01400
1,1,1,2,0.02600
1,2,2,1,0.03300
1,1,2,2,0.02300
2,1,2,2,0.02100
1,1,2,2,0.01800
1,1,1,2,0.01700
2,1,1,2,0.01900
1,1,1,2,0.02700
1,1,1,2,0.01000
2,2,2,1,0.00300
1,2,2,1,0.01100
2,2,2,1,0.01200
1,2,2,1,0.02100
2,2,2,1,0.01100
1,2,2,1,0.00600
2,1,2,2,0.03800
1,1,2,2,0.02700
2,1,2,2,0.04000
1,1,2,2,0.04400
2,2,2,1,0.01600
1,2,2,1,0.03700
2,1,1,2,0.01800
1,1,1,2,0.02600
1,1,2,2,0.03100
2,1,2,2,0.01800
1,1,2,2,0.03000
2,1,2,2,0.01100
1,1,2,2,0.02000
2,1,1,2,0.01900
1,1,1,2,0.01600
2,1,2,2,0.01400
1,1,2,2,0.01500
1,1,2,1,0.00800
1,2,1,1,0.01500
1,2,2,2,0.01700
1,1,1,2,0.02300
1,1,1,1,0.02200
1,1,1,2,0.02800
1,2,2,1,0.01600
2,1,2,2,0.01200
1,2,2,1,0.01200
2,2,2,1,0.01200
1,1,2,2,0.02300
2,1,2,2,0.01800
1,1,2,2,0.01600
1,1,1,2,0.01600
2,1,1,2,0.00900
1,1,1,2,0.01800
2,1,1,2,0.00700
2,1,1,2,0.00400
1,1,1,2,0.01800
1,1,1,2,0.00700
2,1,1,2,0.01600
1,1,1,2,0.02500
1,1,1,2,0.01000
1,1,2,2,0.01900
2,1,2,2,0.04600
1,1,2,2,0.02500
2,1,2,2,0.05300
1,1,2,2,0.04200
2,2,2,1,0.01500
1,2,2,1,0.02900
2,2,2,1,0.00900
1,2,2,1,0.01800
2,1,1,2,0.01400
1,1,1,2,0.03100
2,1,2,1,0.00200
1,1,2,1,0.01100
1,1,2,2,0.02700
2,1,2,2,0.01800
1,1,2,2,0.02900
2,1,2,2,0.01200
1,1,2,2,0.01800
1,2,2,1,0.01300
1,1,1,2,0.00800
1,2,1,1,0.01500
1,2,2,2,0.01500
1,1,1,2,0.02300
3,1,1,2,0.01400
3,2,2,1,0.00800
3,2,2,2,0.00600
3,1,1,2,0.00600
3,1,1,2,0.00600
3,1,2,1,0.03800
3,1,2,3,0.00300
3,1,2,2,0.02400
3,1,1,2,0.00900
3,1,1,2,0.03000
3,1,1,2,0.03100
3,1,2,2,0.00900
3,1,2,2,0.04200
3,1,2,2,0.04300
3,1,2,2,0.00800
3,1,2,2,0.01500
3,1,2,1,0.01900
3,1,1,2,0.01100
3,1,1,2,0.02400
3,1,1,2,0.01300
3,1,2,2,0.04800
3,2,2,1,0.03200
3,1,1,2,0.00800
3,1,2,1,0.04800
3,1,1,2,0.01600
3,1,2,2,0.02900
3,1,1,2,0.01000
3,1,2,1,0.03800
3,1,1,1,0.01000
3,1,2,1,0.07000
3,1,1,1,0.01300
3,1,2,3,0.04300
3,2,2,1,0.05100
3,1,2,2,0.01300
3,1,1,1,0.03400
3,1,1,2,0.02100
3,1,2,1,0.04900
3,1,2,1,0.01000
3,1,1,1,0.05100
3,1,2,2,0.00500
3,1,1,2,0.04300
3,1,2,2,0.01500
3,1,2,2,0.05900
3,1,2,2,0.02300
3,2,2,1,0.01000
3,1,2,1,0.05800
3,1,1,2,0.01300
3,1,2,1,0.03800
3,1,2,1,0.01400
3,1,2,1,0.02800
3,1,2,1,0.00800
3,1,2,2,0.02900
3,1,2,1,0.01300
3,1,2,2,0.01700
3,1,2,2,0.07500
3,1,2,2,0.02300
3,1,2,2,0.06900
3,1,2,2,0.01200
3,1,2,1,0.06500
3,1,2,1,0.00800
3,1,2,2,0.06300
3,1,2,2,0.01400
3,1,2,2,0.06200
3,2,1,1,0.01200
3,1,2,1,0.07400
3,1,2,2,0.01200
3,1,1,1,0.02300
3,1,2,2,0.01500
3,1,2,1,0.03500
3,1,1,2,0.07700
3,1,2,2,0.04800
3,2,2,1,0.01700
3,1,2,2,0.00600
3,2,2,2,0.05000
3,1,1,2,0.02300
3,1,2,1,0.03100
3,1,1,1,0.01400
3,1,2,2,0.06400
3,2,2,1,0.02000
3,1,1,2,0.01500
3,1,2,1,0.08300
3,1,2,2,0.01900
3,2,2,2,0.08300
3,1,2,2,0.02400
3,1,1,1,0.09700
3,1,2,1,0.01800
3,1,2,1,0.01200
3,1,1,2,0.04300
3,2,2,2,0.01800
3,2,2,1,0.03500
3,1,2,2,0.02300
3,2,2,1,0.02400
3,2,2,1,0.02100
3,1,2,2,0.04000
3,1,2,2,0.01500
3,1,2,2,0.01500
3,2,2,2,0.04700
3,1,2,1,0.01800
3,1,2,2,0.07200
3,1,2,2,0.02400
3,2,2,2,0.05700
3,1,1,2,0.02700
3,2,2,1,0.07900
3,2,2,2,0.02800
3,1,2,2,0.08000
3,2,2,2,0.03300
3,1,2,2,0.06700
3,1,1,2,0.03000
3,2,2,2,0.08800
3,1,1,2,0.01900
3,1,1,1,0.09100
3,1,1,1,0.02400
3,1,1,1,0.16900
3,1,2,2,0.02400
3,1,2,2,0.06700
3,1,2,2,0.01900
3,2,2,2,0.08800
3,1,2,2,0.01900
3,1,2,1,0.02200
3,1,1,2,0.02200
3,2,2,2,0.00900
3,1,1,2,0.03000
3,1,2,1,0.00900
3,1,2,1,0.01100
3,2,2,2,0.04000
3,1,1,1,0.03900
3,1,2,2,0.06700
3,1,2,2,0.09600
3,1,1,2,0.08800
3,1,2,2,0.06100
3,2,1,1,0.07000
3,1,2,2,0.12200
3,1,2,1,0.03600
3,2,2,2,0.05300
3,1,2,2,0.06400
3,2,2,1,0.02300
3,1,2,2,0.03000
3,1,1,3,0.03300
3,1,2,3,0.05300
3,2,2,2,0.03100
3,1,2,3,0.08400
3,1,2,2,0.05100
3,1,2,3,0.06800
3,1,2,3,0.07900
3,2,2,2,0.05800
3,1,1,1,0.08400
3,2,2,2,0.07200
3,1,1,1,0.08900
3,2,2,3,0.11500
3,2,2,2,0.03500
3,1,2,2,0.03600
3,1,2,1,0.08100
3,1,2,2,0.07100
3,1,2,2,0.07500
3,1,1,1,0.13200
3,1,2,2,0.11300
3,1,2,2,0.09300
3,1,2,2,0.08100
3,1,1,2,0.14700
3,1,1,2,0.09300
3,2,2,1,0.09700
4,2,1,1,0.18100
4,1,2,1,0.03800
4,1,1,2,0.05100
4,1,2,1,0.03100
4,1,1,2,0.07000
4,2,2,1,0.02800
4,2,2,1,0.08900
4,1,2,3,0.02000
4,1,2,1,0.03300
4,1,2,3,0.02000
4,1,1,2,0.09200
4,1,1,2,0.10500
4,1,1,2,0.08500
4,1,2,1,0.07800
4,1,1,2,0.09300
4,1,2,2,0.03200
