SNS Platform,Framing,Appeal,Model,Product,Season,CTR
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.031345399
Facebook,Positive,Emotional,Ordinary,Procedure,Season,0.013970313
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.019978755
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.014854056
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.012192128
Instagram,Positive,Rational,Profession,Procedure,Season,0.017561136
Facebook,Positive,Rational,Profession,Procedure,Season,0.016930553
Instagram,Positive,Emotional,Character,Procedure,Season,0.028183449
Facebook,Positive,Emotional,Character,Procedure,Season,0.018841526
Facebook,Positive,Rational,Ordinary,Procedure,Season,0.012256625
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.01576323
Facebook,Positive,Emotional,Ordinary,Procedure,Season,0.012443594
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.020106276
Instagram,Negative,Emotional,Character,Procedure,Season,0.119504494
Instagram,Negative,Emotional,Character,Procedure,Season,0.00496907
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.018963224
Facebook,Positive,Emotional,Ordinary,Suction,Season,0.034887733
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.038288334
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.024349697
Facebook,Positive,Emotional,Ordinary,Suction,Season,0.018083367
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.038851096
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.016190661
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.016248326
Facebook,Positive,Emotional,Profession,Suction,Season,0.004644682
Instagram,Positive,Emotional,Profession,Suction,Season,0.01017501
Facebook,Positive,Rational,Ordinary,Suction,Season,0.010628645
Instagram,Positive,Rational,Ordinary,Suction,Season,0.026868368
Facebook,Positive,Rational,Ordinary,Suction,Season,0.009323422
Instagram,Positive,Rational,Ordinary,Suction,Season,0.026531118
Instagram,Positive,Rational,Ordinary,Suction,Season,0.014408113
Instagram,Positive,Emotional,Ordinary,Suction,Season,0.008491727
Instagram,Positive,Rational,Ordinary,Procedure,Season,0.027246848
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.026850159
Facebook,Positive,Emotional,Ordinary,Procedure,Season,0.016456528
Instagram,Positive,Emotional,Ordinary,Procedure,Season,0.019171005
Instagram,Positive,Emotional,Character,Procedure,Season,0.010415239
Facebook,Positive,Emotional,Character,Procedure,Season,0.009035267
Instagram,Positive,Emotional,Character,Procedure,Season,0.006114508
Facebook,Positive,Emotional,Character,Procedure,Season,0.005983166
