메시지프레이밍,메시지소구,광고모델,클릭율
1,2,2,0.048
2,2,1,0.017
1,2,2,0.006
2,2,2,0.05
1,1,2,0.023
1,2,1,0.031
1,1,1,0.014
1,2,2,0.064
2,2,1,0.02
1,1,2,0.015
1,2,1,0.083
1,2,2,0.019
2,2,2,0.083
1,2,2,0.024
1,1,1,0.097
1,2,1,0.018
1,2,1,0.012
1,1,2,0.043
2,2,2,0.018
2,2,1,0.035
1,2,2,0.023
2,2,1,0.024
2,2,1,0.021
1,2,2,0.04
1,2,2,0.015
1,2,2,0.015
2,2,2,0.047
1,2,1,0.018
1,2,2,0.072
1,2,2,0.024
2,2,2,0.057
1,1,2,0.027
2,2,1,0.079
2,2,2,0.028
1,2,2,0.08
2,2,2,0.033
1,2,2,0.067
1,1,2,0.03
2,2,2,0.088
1,1,2,0.019
1,1,1,0.091
1,1,1,0.024
1,1,1,0.169
1,2,2,0.024
1,2,2,0.067
1,2,2,0.019
2,2,2,0.088
1,2,2,0.019
1,2,1,0.022
1,1,2,0.022
2,2,2,0.009
1,1,2,0.03
1,2,1,0.009
1,2,1,0.011
2,2,2,0.04
1,1,1,0.039
1,2,2,0.067
1,2,2,0.096
1,1,2,0.088
1,2,2,0.061
2,1,1,0.07
1,2,2,0.122
1,2,1,0.036
2,2,2,0.053
1,2,2,0.064
2,2,1,0.023
1,2,2,0.03
1,1,3,0.033
1,2,3,0.053
2,2,2,0.031
1,2,3,0.084
1,2,2,0.051
1,2,3,0.068
1,2,3,0.079
2,2,2,0.058
1,1,1,0.084
2,2,2,0.072
1,1,1,0.089
2,2,3,0.115
2,2,2,0.035
1,2,2,0.036
1,2,1,0.081
1,2,2,0.071
1,2,2,0.075
1,1,1,0.132
1,2,2,0.113
1,2,2,0.093
1,2,2,0.081
1,1,2,0.147
1,1,2,0.093
2,2,1,0.097
2,1,1,0.181
1,2,1,0.038
1,1,2,0.051
1,2,1,0.031
1,1,2,0.07
2,2,1,0.028
2,2,1,0.089
1,2,3,0.02
1,2,1,0.033
1,2,3,0.02
1,1,2,0.092
1,1,2,0.105
1,1,2,0.085
1,2,1,0.078
1,1,2,0.093
1,2,2,0.032
1,1,2,0.054
1,1,2,0.173
1,1,2,0.148
1,1,2,0.173
1,1,2,0.128
1,1,2,0.141
1,1,2,0.158
1,1,2,0.152
1,2,1,0.044
1,1,2,0.094
1,1,2,0.184
1,1,2,0.165
1,1,3,0.021
2,2,1,0.051
1,1,2,0.133
1,1,3,0.022
1,2,2,0.057
1,2,3,0.011
2,2,2,0.01
1,1,3,0.044
2,1,3,0.009
1,2,2,0.06
1,1,3,0.021
1,2,1,0.039
1,2,1,0.042
1,2,1,0.029
2,2,1,0.053
1,1,3,0.033
1,2,1,0.049
1,1,3,0.036
1,1,2,0.032
1,2,2,0.007
